,routing_processing_time_s,local_processing_time_s
269,0.1193,0.1793
270,0.3138,0.0578
271,0.3036,0.1084
272,0.2475,0.2032
273,0.06,0.1436
274,0.1809,0.2528
275,0.1273,0.0716
276,0.091,0.1209
277,0.0342,0.0316
278,0.2293,0.2007
279,0.1136,0.1084
280,0.1204,0.3445
281,0.0431,0.195
282,0.0908,0.0929
283,0.2524,0.2116
284,0.0797,0.0696
285,0.1013,0.1647
286,0.0398,0.109
287,0.1688,0.0966
288,0.0895,0.1348
289,0.1272,0.1706
290,0.0378,0.1008
291,0.0638,0.2919
292,0.2755,0.1092
293,0.0679,0.0756
294,0.0922,0.379
295,0.0323,0.1144
296,0.156,0.0767
297,0.091,0.1869
298,0.1246,0.0698
299,0.0534,0.1929
300,0.3126,0.2553
301,0.1591,0.2504
302,0.0776,0.0868
303,0.0439,0.096
304,0.2307,0.2301
305,0.1283,0.2114
306,0.1159,0.2927
307,0.2842,0.0726
308,0.305,0.1327
309,0.0684,0.0664
310,0.0856,0.189
311,0.1386,0.1127
312,0.1615,0.0614
313,0.1064,0.1352
314,0.1316,0.0677
315,0.0375,0.0843
316,0.1933,0.3006
317,0.1119,0.0679
318,0.1105,0.0767
319,0.0412,0.2627
320,0.2518,0.1285
321,0.0724,0.0851
322,0.0852,0.4202
323,0.0796,0.12
324,0.2015,0.1505
325,0.1563,0.084
326,0.1082,0.083
327,0.0554,0.1732
328,0.387,0.091
329,0.0744,0.1115
330,0.229,0.2314
331,0.0729,0.1127
332,0.1848,0.3036
333,0.1383,0.1854
334,0.1051,0.1606
335,0.1581,0.0675
336,0.176,0.088
337,0.0746,0.2658
338,0.1268,0.1975
339,0.0693,0.055
340,0.4858,0.2585
341,0.0912,0.1361
342,0.1441,0.1522
343,0.1172,0.0706
344,0.2266,0.1323
345,0.2063,0.2585
346,0.1275,0.07
347,0.1155,0.2586
348,0.2165,0.3021
349,0.1925,0.1841
350,0.1055,0.2212
351,0.1142,0.2285
352,0.4855,0.1784
353,0.0787,0.1784
354,0.1869,0.1799
355,0.0426,0.1637
356,0.4457,0.3482
357,0.0977,0.187
358,0.1581,0.2203
359,0.075,0.5039
360,0.2672,0.1293
361,0.177,0.2582
362,0.1001,0.089
363,0.1357,0.3035
364,0.2139,0.1489
365,0.1812,0.1759
366,0.1178,0.1496
367,0.062,0.1155
368,0.2843,0.1842
369,0.1122,0.1247
370,0.2163,0.2185
371,0.0453,0.0536
372,0.2046,0.6497
373,0.0849,0.0923
374,0.1144,0.2183
375,0.0753,0.3167
376,0.2119,0.1997
377,0.2383,0.3121
378,0.1101,0.1075
379,0.1856,0.174
380,0.2373,0.2948
381,0.1536,0.2949
382,0.1831,0.0679
383,0.0571,0.2029
384,0.3702,0.0799
385,0.0837,0.4424
386,0.1062,0.241
387,0.1048,0.3502
388,0.2134,0.3241
389,0.1375,0.2464
390,0.1746,0.19
391,0.0734,0.1186
392,0.2492,0.2792
393,0.1271,0.0788
394,0.2439,0.2303
395,0.0778,0.1283
396,0.7098,0.2658
397,0.2689,0.2091
398,0.1421,0.2916
399,0.0527,0.2599
400,0.3312,0.2356
401,0.1558,0.0758
402,0.1276,0.3672
403,0.1533,0.1056
404,0.2596,0.3302
405,0.1281,0.2547
406,0.202,0.272
407,0.0839,0.1374
408,0.3336,0.3536
409,0.1557,0.1677
410,0.3225,0.1254
411,0.0948,0.2572
412,0.264,0.2731
413,0.3606,0.2443
414,0.1173,0.2993
415,0.1584,0.2459
416,0.0787,0.1715
417,0.2954,0.2619
418,0.1598,0.3246
419,0.1436,0.1409
420,0.082,0.1495
421,0.434,0.1333
422,0.1222,0.4344
423,0.1322,0.2983
424,0.4022,0.1481
425,0.2441,0.3958
426,0.1277,0.0454
427,0.1212,0.2667
428,0.2087,0.0842
429,0.2275,0.2812
430,0.2906,0.3478
431,0.1075,0.3188
432,0.0667,0.1577
433,0.4222,0.1342
434,0.1709,0.2243
435,0.1466,0.279
436,0.1631,0.2286
437,0.3596,0.0878
438,0.0896,0.123
439,0.1789,0.2807
440,0.0817,0.1977
441,0.2852,0.2719
442,0.1421,0.2658
443,0.2014,0.2896
444,0.0705,0.0936
445,0.2929,0.3019
446,0.2593,0.0954
447,0.1709,0.4049
448,0.1768,0.1025
449,0.2712,0.1705
450,0.2389,0.2084
451,0.1902,0.1915
452,0.0785,0.3637
453,0.3407,0.1159
454,0.1353,0.2381
455,0.2881,0.2241
456,0.0903,0.1078
457,0.563,0.1999
458,0.1269,0.1937
459,0.2161,0.1371
460,0.1144,0.2722
461,0.3065,0.2818
462,0.2511,0.2525
463,0.307,0.1842
464,0.0498,0.0639
465,0.2598,0.3299
466,0.1403,0.1697
467,0.2241,0.1999
468,0.354,0.1946
469,0.2745,0.0477
470,0.1703,0.1676
471,0.1307,0.0497
472,0.1237,0.39
473,0.2536,0.1014
474,0.2842,0.3462
475,0.1671,0.1881
476,0.0661,0.3896
477,0.4477,0.2888
478,0.1056,0.5614
479,0.139,0.1656
480,0.0883,0.4551
481,0.3667,0.1763
482,0.1091,0.2431
483,0.23,0.282
